rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
40,tfidf_word,TF-IDF Word,tfidf,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_word__sgd_log,completed,0.55,0.5555555555555556,0.5416666666666666,0.5592592592592592,0.5634920634920635,0.008046388626098633,0.00165557861328125,19.20703125,55.208333333333336,99.46824632644655,85,73.00823259862264,
41,hashing_word,HashingVectorizer Word,hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_word__random_forest_small,completed,0.65,0.6384615384615385,0.6303846153846154,0.6444444444444444,0.6666666666666666,0.08503985404968262,0.0047152042388916016,137.837890625,64.01346153846154,96.45009080886841,55,72.74742200792754,
42,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,ridge_classifier,Ridge Classifier,linear,low,count_bigram__ridge_classifier,completed,0.5,0.513888888888889,0.4979166666666666,0.5222222222222223,0.5158730158730159,0.013160943984985352,0.0015761852264404297,44.5830078125,50.802083333333336,98.93480306625366,100,72.72810644658406,
43,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.004231452941894531,0.0013353824615478516,49.3564453125,58.577777777777776,98.90735942840575,70,72.49924966345893,
44,count_word,CountVectorizer Word,count,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_word__passive_aggressive,completed,0.55,0.5370851370851372,0.5282251082251083,0.5416666666666666,0.5634920634920635,0.008724451065063477,0.0009114742279052734,16.849609375,53.898484848484856,99.55597265243532,85,72.30536119715374,
45,tfidf_word,TF-IDF Word,tfidf,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_word__multinomial_nb,completed,0.5,0.4845295055821371,0.47239234449760764,0.5166666666666667,0.5079365079365079,0.005685091018676758,0.0013592243194580078,25.7900390625,48.65765550239234,99.36853521347047,100,71.63541756900989,
46,tfidf_word,TF-IDF Word,tfidf,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,tfidf_word__sgd_hinge,completed,0.55,0.5082477435418612,0.49794584500466854,0.5416666666666666,0.5634920634920636,0.0070285797119140625,0.0011773109436035156,19.212890625,51.71405228758171,99.50293205261231,85,71.09331516869241,
47,hashing_char,HashingVectorizer Character,char_hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_char__linear_svc,completed,0.6,0.547463429816371,0.5391223155929039,0.5750000000000001,0.6111111111111112,0.015805721282958984,0.004892110824584961,97.3408203125,55.93464052287582,97.66482261657714,70,70.79701681089713,
48,hashing_char,HashingVectorizer Character,char_hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_char__bernoulli_nb,completed,0.55,0.5111111111111111,0.5033333333333333,0.5151515151515151,0.5555555555555555,0.007845401763916016,0.0030748844146728516,193.3212890625,51.96666666666666,95.90200874328613,85,70.5120684153239,
49,hashing_char,HashingVectorizer Character,char_hashing,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,hashing_char__complement_nb,completed,0.55,0.5111111111111111,0.5033333333333333,0.5046296296296297,0.5634920634920636,0.007580995559692383,0.002645254135131836,225.3681640625,51.96666666666666,95.28843549728393,85,70.38935376612345,
50,hashing_char,HashingVectorizer Character,char_hashing,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,hashing_char__multinomial_nb,completed,0.55,0.5070889894419306,0.5016742081447964,0.5015873015873016,0.5555555555555555,0.008161783218383789,0.002617359161376953,193.3056640625,51.70045248868778,95.92787446975709,85,70.3708237627297,
51,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_bigram__logreg_balanced,completed,0.45,0.470995670995671,0.4581818181818182,0.48690476190476195,0.4603174603174603,0.015987157821655273,0.0014710426330566406,44.6875,46.38246753246754,98.92206449508667,100,70.29477004187449,
52,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_char_wb__bernoulli_nb,completed,0.55,0.5130952380952382,0.5030357142857144,0.5046296296296297,0.5634920634920636,0.023316383361816406,0.005969524383544922,284.8681640625,52.081250000000004,93.8045669555664,85,70.15560089111328,
53,tfidf_word,TF-IDF Word,tfidf,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_word__passive_aggressive,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.009071111679077148,0.0020966529846191406,19.228515625,49.86282051282051,99.4352038383484,85,70.06159204972096,
54,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,linear_svc,LinearSVC,margin_based,medium,count_bigram__linear_svc,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.007089376449584961,0.0013659000396728516,44.52734375,49.86282051282051,98.98496286392212,85,69.97154385483572,
55,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_bigram__passive_aggressive,completed,0.5,0.5008547008547009,0.4874358974358975,0.49642857142857144,0.5158730158730159,0.006347179412841797,0.001577138900756836,44.865234375,49.86282051282051,98.96998390197754,85,69.96854806244679,
56,hashing_word,HashingVectorizer Word,hashing,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,hashing_word__sgd_log,completed,0.55,0.534965034965035,0.5155594405594405,0.5171957671957672,0.5714285714285714,0.006790637969970703,0.0014483928680419922,49.6259765625,53.58129370629371,98.87983306884766,70,69.74567815223108,
57,tfidf_char,Character TF-IDF,char_tfidf,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_char__bernoulli_nb,completed,0.55,0.5082477435418612,0.49794584500466854,0.5416666666666666,0.5634920634920636,0.03682231903076172,0.0074443817138671875,402.9462890625,51.71405228758171,91.2734774017334,85,69.44742423851662,
58,hashing_char,HashingVectorizer Character,char_hashing,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,hashing_char__passive_aggressive,completed,0.55,0.5130952380952382,0.5030357142857144,0.5046296296296297,0.5634920634920636,0.010678291320800781,0.002620220184326172,97.6318359375,52.081250000000004,97.82608032226562,70,68.70990356445313,
59,hashing_char,HashingVectorizer Character,char_hashing,medium,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,hashing_char__sgd_hinge,completed,0.55,0.5071428571428571,0.495,0.5015873015873016,0.5714285714285714,0.009804725646972656,0.0025594234466552734,97.6318359375,51.60357142857143,97.83496952056885,70,68.44895818982806,
60,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_bigram__complement_nb,completed,0.45,0.42568542568542567,0.4136363636363637,0.4113756613756614,0.4682539682539683,0.0045468807220458984,0.0009076595306396484,69.5048828125,42.99567099567099,98.52816148757935,100,68.35325134513492,
61,hashing_char,HashingVectorizer Character,char_hashing,medium,random_forest_small,Small Random Forest,tree_based,high,hashing_char__random_forest_small,completed,0.6,0.547463429816371,0.5391223155929039,0.5750000000000001,0.6111111111111112,0.09695792198181152,0.0067882537841796875,144.525390625,55.93464052287582,96.12044942855835,55,68.23814217329337,
62,hashing_word,HashingVectorizer Word,hashing,medium,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,hashing_word__sgd_hinge,completed,0.55,0.49603174603174605,0.4875,0.6904761904761904,0.5714285714285714,0.006520271301269531,0.0014567375183105469,49.6474609375,50.824404761904766,98.88052490234375,70,68.22952759951637,
63,tfidf_char,Character TF-IDF,char_tfidf,medium,ridge_classifier,Ridge Classifier,linear,low,tfidf_char__ridge_classifier,completed,0.5,0.4666666666666666,0.46333333333333326,0.46759259259259256,0.5079365079365079,0.03781557083129883,0.0060651302337646484,285.8212890625,47.45,93.69277297973633,85,67.58605459594727,
64,hashing_word,HashingVectorizer Word,hashing,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,hashing_word__passive_aggressive,completed,0.5,0.4952465834818776,0.4783422459893048,0.49444444444444446,0.5158730158730159,0.006758689880371094,0.0015091896057128906,49.6630859375,49.38992869875223,98.875634765625,70,67.43958773743873,
65,tfidf_char,Character TF-IDF,char_tfidf,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.5018730163574219,0.01860189437866211,285.91015625,47.331250000000004,90.15444511413574,85,66.81307652282715,
66,hashing_char,HashingVectorizer Character,char_hashing,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,hashing_char__sgd_log,completed,0.5,0.4740675990675991,0.4670017482517482,0.458994708994709,0.5079365079365079,0.028919458389282227,0.0028276443481445312,97.6103515625,47.949082167832174,97.70461755752564,70,66.41291870381282,
67,hashing_word,HashingVectorizer Word,hashing,medium,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,hashing_word__bernoulli_nb,completed,0.5,0.4166666666666667,0.4041666666666667,0.4705882352941176,0.5,0.0028121471405029297,0.0012896060943603516,97.3525390625,43.5625,97.95869997024536,85,66.30111499404907,
68,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_wb__linear_svc,completed,0.5,0.47647907647907645,0.47363636363636363,0.46957671957671954,0.5079365079365079,0.023517131805419922,0.005017518997192383,202.046875,48.19329004329004,95.51690856933594,70,66.10969123767671,
69,tfidf_char,Character TF-IDF,char_tfidf,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.04419445991516113,0.006386995315551758,285.765625,47.835714285714275,93.63630102157593,70,65.53690306145805,
70,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_bigram__ridge_classifier,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.011929035186767578,0.002058744430541992,50.8837890625,35.764939309056956,98.78722534179687,100,64.42816168834071,
71,tfidf_char,Character TF-IDF,char_tfidf,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_char__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.03215837478637695,0.005819797515869141,402.9306640625,42.46063348416289,91.39924861907959,85,64.3831981401055,
72,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_char_wb__sgd_log,completed,0.45,0.43846153846153846,0.4337179487179488,0.43703703703703695,0.4603174603174603,0.026845932006835938,0.005290985107421875,202.31640625,44.06346153846154,95.47513717651367,70,63.82993128145658,
73,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,ridge_classifier,Ridge Classifier,linear,low,tfidf_char_wb__ridge_classifier,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.03259134292602539,0.00554203987121582,202.1025390625,39.546794871794866,95.4298787689209,85,63.58671293327136,
74,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_wb__logreg_balanced,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.28800439834594727,0.012475252151489258,202.19140625,39.546794871794866,93.47963035583496,85,63.19666325065417,
75,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_char_wb__complement_nb,completed,0.4,0.394017094017094,0.39371794871794874,0.39999999999999997,0.4047619047619047,0.022917747497558594,0.004874229431152344,312.5400390625,39.546794871794866,93.3192389678955,85,63.16458497306628,
76,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,tfidf_char_wb__multinomial_nb,completed,0.4,0.38717948717948714,0.3834615384615384,0.3761904761904762,0.4047619047619047,0.026005983352661133,0.005252361297607422,284.8525390625,38.982692307692304,93.83177164077759,85,62.95683509738629,
77,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,sgd_log,SGDClassifier Logistic Loss,sgd,medium,tfidf_bigram__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.0076291561126708984,0.0014493465423583984,51.11328125,35.764939309056956,98.84499864578248,85,62.189716349137825,
78,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,linear_svc,LinearSVC,margin_based,medium,tfidf_bigram__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.007782459259033203,0.0019450187683105469,50.84375,35.764939309056956,98.81972911834717,85,62.184662443650765,
79,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_bigram__passive_aggressive,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.011282205581665039,0.002191781997680664,51.134765625,35.764939309056956,98.77810453414918,85,62.17633752681117,
80,tfidf_svd,TF-IDF + SVD,dimensionality_reduction,high,ridge_classifier,Ridge Classifier,linear,low,tfidf_svd__ridge_classifier,completed,0.45,0.46068376068376066,0.4587179487179488,0.47222222222222215,0.4523809523809524,0.0417170524597168,0.003391742706298828,,45.77179487179487,79.54619312286377,70,61.58372580405994,
81,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,tfidf_char_wb__passive_aggressive,completed,0.4,0.39926739926739924,0.39780219780219783,0.40277777777777773,0.4047619047619047,0.029173612594604492,0.0053751468658447266,202.353515625,39.92307692307692,95.45537919998169,70,61.54876814768865,
82,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_bigram__multinomial_nb,completed,0.3,0.3021645021645022,0.29909090909090913,0.305952380952381,0.30158730158730157,0.005553483963012695,0.0009105205535888672,63.1767578125,30.11623376623377,98.6485127067566,100,61.29363111277989,
